file,prop. expanded,%_unexpanded,%_1expanded,%_2expanded,%_3expanded,%_4expanded,%_5expanded
Ec257-beforegavage,0.048385027,0.951614973,0.047871658,0.000513369,0.0,0.0,0.0
Ec257-day1-rep4,0.214500426,0.785499574,0.199156535,0.01498497,0.000358921,0.0,0.0
Ec257-day10-rep4,0.161454945,0.838545055,0.149426783,0.011493256,0.000534906,0.0,0.0
Ec257-day20-rep4,0.525737429,0.474262571,0.44668157,0.073481593,0.00540007,0.000174196,0.0
Ec257-day30-rep4,0.959904153,0.040095847,0.56465655,0.324254526,0.06465655,0.005165069,0.001171459
Ec257-day40-rep4,0.97942954,0.02057046,0.321649252,0.443162948,0.1831573,0.024682293,0.006777746
Ec257-day50-rep4,0.989473475,0.010526525,0.230847296,0.321586341,0.304652366,0.088052692,0.044334779
Ec257-day60-rep4,0.996241048,0.003758952,0.157697939,0.199343173,0.340303882,0.183278598,0.115617457
Ec257-day80-rep4,0.983418536,0.016581464,0.242383656,0.19375224,0.240799079,0.083133689,0.223349871
Ec257-day100-rep4,0.986441251,0.013558749,0.28317836,0.304885883,0.153169907,0.059137785,0.186069315
